_id,feedback
5,"Tradehome Shoe Stores, Inc., headquartered in Cottage Grove, MN, is a retailer of high end branded shoes operating a chain of stores across the United States. Tradehome was founded in 1921, and grew from two locations in the Midwest to our current 108 retail shoe stores. In 2014 Tradehome was sold to its employees and is 100% ESOP owned. Our employees accrue ownership in Tradehome, allowing us to share in the success of the company. Our success depends upon the fundamental relationship with employees'” recruiting, retaining and rewarding the best talent. We are looking for reliable people with a strong work ethic to join our team. '“ less"
6,"Carter's, Inc. is the largest branded marketer in North America of apparel and related products exclusively for babies and young children. The Company owns the Carter's and OshKosh B'gosh brands, two of the most recognized brands in the marketplace. These brands are sold in leading department stores, national chains, and specialty retailers domestically and internationally. They are also sold through more than 1,000 Company-operated stores in the United States, Canada, and Mexico and on-line at www.carters.com, www.oshkosh.com, and www.cartersoshkosh.ca. The Company's Just One You, Precious Firsts, and Genuine Kids brands are available at Target, its Child of Mine brand is available at Walmart, and its Simple Joys brand is available on Amazon. The Company also owns Skip Hop, a global lifestyle brand for families with young children. Carter's is headquartered in Atlanta, Georgia. Additional information may be found at www.carters.com. '“ less"
7,"The Wakefern Food Corporation, founded in 1946 and based in Keasbey, New Jersey, U.S., is the largest Retailers' co-operative group of supermarkets in the United States, and the largest employer in New Jersey (36,000 people)."
8,"It all started with a small newspaper stand in Maynard, MA in 1964 '“ established by our founder, Bob Anderson. Over the years The Paper Store has responded to what our local communities need and continues to evolve with our customers' shopping habits '“ while at the same time, staying true to our brand. Hence, why we remain named 'œThe Paper Store.' The Paper Store is the largest family-owned and operated specialty gift business in New England. Today, the Anderson family runs over 80 stores throughout the Northeast '“ and a thriving ecommerce business '“ with over 3,000 employees who make The Paper Store 'œtick.' Our team works diligently to offer guests a unique shopping experience where they can find a unique gift for every occasion.
Our departments include fashion, accessories, spa, home dÃ©cor, stationery, jewelry, sports, and more from brands like Vera Bradley, Lilly Pulitzer, ALEX AND ANI, Ivory Ella, Vineyard Vines and Pura Vida. We're always listening for what's new and important to our customers '“ and our family of brands continues to grow every day. Plus, The Paper Store is a proud Hallmark partner, which ties in to the backbone of our company's mission '“ to commit and provide stellar service to all Hallmark Gold Crown customers and provide the offerings they know and expect from Hallmark. We are dedicated to providing this connection as part of the seamless, inspirational and fun experience our guests enjoy in all our stores, online, and beyond. '“ less"
9,"Newegg caters to tech-enthusiasts who build their own computers. The company, which prides itself on ""fresh"" offerings, is a leading online-only distributor of consumer electronics and computing products. It sells desktop and laptop computers along with all the related components to build or repair one yourself. Newegg also stocks cell phones, digital cameras, home appliances, networking devices, peripherals, DVDs, accessories, and software. Its websites (including NeweggBusiness.com) carry products made by vendors including Apple, ATi, Canon, Sony, Toshiba, and Viewsonic. Founded in 2001, Newegg has customers in the US, Canada, and now China. '“ less"
10,"BlockBuster Costumes is a leading industry provider for costumes and costume accessories. We are dedicated to upholding the highest standards for online transactions including quality merchandise, expeditious shipping, exceptional customer service, uncompromising privacy and security, and complete order transparency.

The mission of BlockBuster Costumes is to relentlessly focus on providing value and quality to our customers. We strive to maximize the impact of customer touch-points, to take advantage of opportunities to strengthen our customer relationships, and to embrace innovation to support these objectives. '“ less"
11,"We are an organization built on solid ideas and smart, motivated people. We continue our rapid growth by utilizing teamwork, diversity in our workforce and by celebrating success. Our fast-paced yet comfortable, casual work environment empowers our staff to pursue their own ideas and inspires them to excel. So if you are looking for a place where you can grow, learn and apply your ideas and experience with collaboration from management, look no further.

Join our team and see for yourself! '“ less"
12,"Anjolique Bridal and Formal is one of the Top 50 Bridal and Formal salons in the US by Bride's Magazine! Carrying designers from all over the world, Anjolique provides its customers a spectrum of choice in designer bridal, prom, evening, and pageant wear."
13,"At Maui Jim sunglasses, we are passionate about the way you see the world through our patented PolarizedPlus2 lens technology. We work diligently to attract and retain the brightest individuals in our industry and to foster an environment of encouraged professional development, creative thinking, and growth. The Aloha Spirit is the backbone of our culture, which embraces respect, trust, integrity and creativity.

The Aloha Spirit permeates our philosophy at Maui Jim. Every member of our global '˜Ohana (Hawaiian for family) is an owner of our company; the pride of ownership truly makes a difference in our success. Our employees go above and beyond to distinguish Maui Jim as a leader in the industry.

Maui Jim has distribution offices in Australia, Canada, France, Germany, India, Italy, Mexico, Spain, Sweden, United Arab Emirates, United Kingdom, Hong Kong and the United States, including Lahaina, Hawaii. If you would like to be part of the sublime adventure that is Maui Jim, pursue our current job openings. '“ less"
14,"Welcome to Sol Flower Wellness Center - Arizona's Newest Medical Marijuana Dispensary with two valley locations in Tempe and Sun City!

Established in 2019.

Sol Flower is a wellness brand established in 2019 by Copperstate Farms Management, LLC, a vertically integrated cannabis management company. The brand includes Sol Flower Dispensary and Sol Flower CafÃ© and Wellness Center. A first-of-its-kind multidimensional retail concept, Sol Flower is dedicated to building an inclusive cannabis community by empowering wellness for all. Designed to be a resource for the canna-curious and medical cannabis patients, Sol Flower offers a diverse curriculum of educational classes on alternative healthcare with trusted, wellness experts. Sol Flower is about living life to the fullest and living life with sol. '“ less"
